Date	CampaignName	CampaignUrlPath	LocationOfPresenceName	Impressions	Clicks	Cost
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Абакан	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Алтайский край	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Астраханская область	2	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Ачинск	2	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Балаково	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Балашиха	2	1	15320000
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Барнаул	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Бахчисарайский район	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Белгородская область	4	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Белебеевский район	2	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Белово	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Белореченск	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Биробиджан	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Благовещенск	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Амурская область	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Братск	4	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Будённовск	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Великий Новгород	3	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Видное	3	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Владивосток	2	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Владимир	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Волгоград	2	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Волгоградская область	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Волгодонск	9	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Воронеж	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Воронежская область	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Воскресенский район	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Всеволожский район	1	1	22690000
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Гатчина	2	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Гатчинский район	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Истра (городской округ)	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Люберцы (городской округ)	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Грозный	2	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Дербент	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Дзержинск (Нижегородская область)	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Долгопрудный	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Екатеринбург	8	1	17120000
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Свердловская область	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Забайкальский край	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Зеленоград	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Ижевск	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Иркутск	5	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Иркутская область	4	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Кабардино-Балкарская Республика	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Казань	4	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Калининград	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Калужская область	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Каспийск	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Кемерово	1	1	18800000
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Кемеровская область (Кузбасс)	2	1	10000000
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Киров	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Комсомольск-на-Амуре	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Краснодар	4	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Краснодарский край	5	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Красноярск	3	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Красноярский край	2	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Крымский район	2	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Курган	3	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Курганская область	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Курск	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Курская область	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Кызыл	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Луховицы	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Люберцы	1	0	0
2022-08-27	мастер	https://mrqz.me/62e8ca734fcef4004deafa7b?utm_source=yandex_direct.spicy&utm_medium=cpc&utm_campaign={master}&utm_content={ad_id}&utm_term={keyword}	Магаданская область	1	0	0
